Date,Open,High,Low,Close,Adj Close,Volume,Symbol
2018-07-31,258.0199890136719,259.0899963378906,257.6000061035156,258.3999938964844,236.87429809570312,1992500,VOO
2018-08-01,258.6400146484375,259.19000244140625,257.3500061035156,258.0799865722656,236.58091735839844,1651700,VOO
2018-08-02,256.7300109863281,259.6000061035156,256.4800109863281,259.3900146484375,237.78182983398438,1767300,VOO
2018-08-03,259.6000061035156,260.6600036621094,259.3900146484375,260.6600036621094,238.94602966308594,2017600,VOO
2018-08-06,260.55999755859375,261.8299865722656,260.20001220703125,261.6400146484375,239.84442138671875,1843000,VOO
2018-08-07,262.20001220703125,262.7799987792969,262.0799865722656,262.3699951171875,240.5135498046875,2619200,VOO
2018-08-08,262.2300109863281,262.6700134277344,261.7900085449219,262.2300109863281,240.38525390625,1560400,VOO
2018-08-09,262.3299865722656,262.739990234375,261.760009765625,261.8999938964844,240.08267211914062,1084400,VOO
2018-08-10,260.3599853515625,260.9599914550781,259.42999267578125,260.1199951171875,238.4510040283203,2395500,VOO
2018-08-13,260.4100036621094,261.07000732421875,258.8999938964844,259.1400146484375,237.5526580810547,3684700,VOO
2018-08-14,259.94000244140625,261.07000732421875,259.54998779296875,260.80999755859375,239.0835723876953,1531800,VOO
2018-08-15,259.42999267578125,259.54998779296875,257.3900146484375,258.8900146484375,237.32345581054688,2587800,VOO
2018-08-16,260.3599853515625,261.8900146484375,260.3500061035156,260.989990234375,239.24851989746094,1693100,VOO
2018-08-17,260.7099914550781,262.3800048828125,260.3500061035156,261.8599853515625,240.04608154296875,2278800,VOO
2018-08-20,262.3999938964844,262.739990234375,261.8999938964844,262.44000244140625,240.57769775390625,1245500,VOO
2018-08-21,263.010009765625,263.9700012207031,262.8599853515625,263.010009765625,241.10028076171875,1937900,VOO
2018-08-22,262.6400146484375,263.45001220703125,262.3900146484375,262.92999267578125,241.0269012451172,1708100,VOO
2018-08-23,262.67999267578125,263.6300048828125,262.2099914550781,262.54998779296875,240.67855834960938,2308100,VOO
2018-08-24,263.1600036621094,264.2900085449219,263.1099853515625,264.20001220703125,242.191162109375,2328900,VOO
2018-08-27,265.3800048828125,266.3500061035156,265.260009765625,266.19000244140625,244.0153350830078,2371000,VOO
2018-08-28,266.760009765625,266.8299865722656,265.8900146484375,266.3399963378906,244.1529083251953,3026900,VOO
2018-08-29,266.5899963378906,268.04998779296875,266.3399963378906,267.79998779296875,245.4912109375,2116100,VOO
2018-08-30,267.30999755859375,267.7099914550781,266.1199951171875,266.7099914550781,244.49203491210938,2625500,VOO
2018-08-31,266.3299865722656,267.2200012207031,265.8299865722656,266.7200012207031,244.501220703125,3172400,VOO
2018-09-04,266.3500061035156,266.6600036621094,265.260009765625,266.3500061035156,244.16204833984375,3623300,VOO
2018-09-05,265.9100036621094,266.1300048828125,264.5199890136719,265.6000061035156,243.47454833984375,4595500,VOO
2018-09-06,265.69000244140625,265.989990234375,263.70001220703125,264.82000732421875,242.75949096679688,1687900,VOO
2018-09-07,263.6300048828125,265.260009765625,263.45001220703125,264.17999267578125,242.1728057861328,2634100,VOO
